N_atom, run_time (sec)
5, 0.025286197662353516
9, 0.06372809410095215
10, 0.061426639556884766
10, 0.35759592056274414
9, 0.06335949897766113
2, 0.012659549713134766
3, 0.014543294906616211
2, 0.011184453964233398
7, 0.042015790939331055
12, 0.08975386619567871
8, 0.04882931709289551
6, 0.041127681732177734
8, 0.05040597915649414
4, 0.020586013793945312
3, 0.013939619064331055
8, 0.058037519454956055
12, 0.1053168773651123
9, 0.04877495765686035
10, 0.07005643844604492
8, 0.050112247467041016
8, 0.05474090576171875
10, 0.06222414970397949
8, 0.0422673225402832
2, 0.01177358627319336
5, 0.02114105224609375
8, 0.05243110656738281
4, 0.01979851722717285
8, 0.04790163040161133
8, 0.05037355422973633
6, 0.03725004196166992
8, 0.08629631996154785
8, 0.04634737968444824
12, 0.09229063987731934
10, 0.06504011154174805
10, 0.06086111068725586
2, 0.012028932571411133
12, 0.11175417900085449
4, 0.0353550910949707
4, 0.03488731384277344
9, 0.04897189140319824
9, 0.05062294006347656
10, 0.05745434761047363
9, 0.059705257415771484
4, 0.0245206356048584
5, 0.053595781326293945
12, 0.08156752586364746
5, 0.026910781860351562
6, 0.0343472957611084
10, 0.06812047958374023
6, 0.03725838661193848
7, 0.03985881805419922
12, 0.08844566345214844
3, 0.018504858016967773
2, 0.014306068420410156
8, 0.048909664154052734
9, 0.07153558731079102
8, 0.04379439353942871
10, 0.06201362609863281
6, 0.03908705711364746
6, 0.039969682693481445
12, 0.10428285598754883
4, 0.03195071220397949
8, 0.04894232749938965
12, 0.07164478302001953
8, 0.04893231391906738
12, 0.0927734375
2, 0.01454925537109375
5, 0.02809309959411621
7, 0.041056156158447266
2, 0.014087915420532227
5, 0.0272214412689209
4, 0.023996353149414062
6, 0.037271738052368164
12, 0.09928226470947266
12, 0.08822202682495117
12, 0.10004973411560059
8, 0.059568166732788086
6, 0.03763294219970703
7, 0.03956770896911621
10, 0.06639695167541504
6, 0.03625321388244629
12, 0.11001467704772949
10, 0.131608247756958
10, 0.07534432411193848
6, 0.0375361442565918
9, 0.047827959060668945
6, 0.035048723220825195
8, 0.041645050048828125
6, 0.03933548927307129
5, 0.034046173095703125
10, 0.06828570365905762
8, 0.049520015716552734
8, 0.045327186584472656
3, 0.0160372257232666
9, 0.06414127349853516
9, 0.0471341609954834
3, 0.017386436462402344
3, 0.018721818923950195
11, 0.0737009048461914
8, 0.048447370529174805
9, 0.053080081939697266
5, 0.025218486785888672
6, 0.05049777030944824
10, 0.05942487716674805
10, 0.06745195388793945
8, 0.05032014846801758
12, 0.09743785858154297
5, 0.04707837104797363
8, 0.04727339744567871
10, 0.06351876258850098
12, 0.08358263969421387
8, 0.04816722869873047
10, 0.05961012840270996
2, 0.015129327774047852
8, 0.04773354530334473
2, 0.014795541763305664
